編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
109,南投縣消防局各單位地圖,消防局,,,,2,,,,2016-06-28T06:33:56.636834
110,南投縣轄內危險水域清冊,消防局,,,,4,,,,2018-01-23T08:48:05.645974
111,南投縣南投市防災避難地圖,消防局,,,,1,,,,2018-06-07T03:38:21.319673
112,南投縣公共圖書館地址、電話表,文化局,,,,2,,,,2018-03-31T06:14:58.873545
113,南投縣文化基金會一覽表,文化局,,,,1,,,,2018-05-16T08:11:34.780745
114,南投縣文化設施,文化局,,,,1,,,,2018-05-16T07:31:03.671674
115,南投縣文化資產,文化局,,,,2,,,,2018-05-17T05:54:42.656088
116,南投縣立案演藝團體一覽表,文化局,,,,2,,,,2018-03-31T06:12:39.947383
117,南投縣公共藝術,文化局,,,,1,,,,2018-04-03T02:45:43.265748
118,南投縣政府文化局文化資產叢書一覽表,文化局,,,,1,,,,2018-05-22T06:29:16.331477
119,南投縣藝文活動,文化局,,,,1,,,,2018-05-31T01:39:20.681874
120,104年度推展部落文化健康站,原住民族行政局,,,,2,,,,2018-05-17T06:33:17.052778
121,南投縣公私立醫院所數、救護車數量,衛生局,,,,1,,,,2018-05-17T06:24:18.907588
122,南投縣包裝飲用水工廠基本資料表,衛生局,,,,1,,,,2018-06-01T00:42:35.820136
123,南投縣餐盒食品工廠名冊,衛生局,,,,2,,,,2016-11-07T08:22:02.612301
124,南投縣「口腔黏膜健康檢查」醫療院所名單,衛生局,,,,1,,,,2018-05-31T03:36:56.407316
125,南投縣「子宮頸抹片篩檢」醫療院所名單,衛生局,,,,1,,,,2017-02-08T07:54:39.117997
126,南投縣「乳房Ｘ光攝影醫療機構認證」名單,衛生局,,,,1,,,,2017-02-08T07:50:31.297590
127,南投縣十大死因,衛生局,,,,1,,,,2018-05-17T06:36:26.073287
128,南投縣衛生統計年報,衛生局,,,,1,,,,2018-05-17T06:29:48.165001
129,南投縣餐飲衛生優良店,衛生局,,,,5,,,,2018-05-31T09:01:06.054333
130,南投縣加水站業者名單,衛生局,,,,1,,,,2018-06-01T00:36:35.859331
131,南投縣各稅稅收統計報表,稅務局,,,,4,,,,2018-05-22T06:38:04.148928
132,南投縣地方稅稅源分析表,稅務局,,,,5,,,,2018-05-17T06:39:48.792392
133,南投縣稅捐統計要覽,稅務局,,,,72,,,,2018-05-31T06:11:13.190783
134,太極美地XML,觀光處,,,,1,,,,2018-05-18T01:28:18.642534
